code,gender,blackwhite,blurring,circularblurringext,circularblurringint,canny,original
mile27,m,-12.701277747206765,-10.026591725201959,-11.65853173685754,-12.401841628297145,-10.770539601870865,-11.932984241657051
moob25,m,-9.557656140895375,-9.62217021122536,-8.432541669818477,-8.341319465915362,-7.250408639265537,-8.454385566711586
mama13,f,-11.27372746229385,-9.62024720601132,-9.164448074269865,-9.547545298887844,-6.925253263224748,-9.770890436848164
vamo24,f,-8.105920926396935,-6.344822496122863,-6.230141386057736,-7.576288773024474,-6.881414483626749,-8.518203069735685
jomo20,f,-8.794589712899416,-6.775252012779281,-5.798949414780205,-6.968070223134518,-7.914614069381806,-7.400132827460691
thko03,m,-11.5041212814658,-5.280117598620177,-6.637633413537553,-7.1318878773625105,-4.870744632096345,-5.021312578019482
