gender,blackwhite,blurring,circularblurringext,circularblurringint,edges,original
f,-0.09747159295000002,-0.08913827105000001,-0.33398846404,-0.24971874964000002,-0.38632926515,-0.19709704973
f,-0.47863786668,-0.2599239969,-0.14226726113000002,-1.08413641067,-0.29334364253,-0.37915146327000004
m,-0.13917456599,-0.16669716602,-0.044211836180000005,-0.13175712769999998,0.14532323201,-0.12102136170999998
m,-0.18932584275,-0.30243445694000004,-0.40458801496,-0.27996254684,-0.39634831460000003,-0.21535580523
m,-0.19414791721,-0.17521241151000003,-0.08600164408000001,-0.20385557024,-0.43350744355000004,-0.12484484039
f,-0.09859550556,-0.25571161041,-0.2888576779,-0.29026217229,-0.41460674157,-0.14344569283999997
