n200,valence
-25.026181827969395,0.858861277
-14.906058291611776,-3.542802767
-4.929184872122259,-0.253754468
-14.99247917402821,0.56606766
-9.150989697646764,-0.575827447
-0.006558024889463533,-2.85961766
-13.903873269028967,0.165916383
-27.123400818780926,1.259012554
-12.302179790577075,0.780782979
-17.002836988118716,0.692944894
-22.02759632616803,0.204955532
-9.981036392987543,1.649404043
-21.62255390790749,0.45871
-14.256588292023046,1.063816809
-12.314426471607808,0.429430638
-8.743002062758999,-0.097597872
-15.263225533720151,0.975978724
-15.276855760918014,0.243994681
-8.904115554945337,-3.289048299
-18.689868015780945,1.044297234
-10.194248757346106,0.126877234
-15.759204550534097,-1.610364894
-20.05481624080864,0.644145958
-8.988370333704287,1.629884469
-12.982458169743262,2.000756384
-12.21573324330621,-0.058558723
-5.343754253653048,-0.029279362
-13.333284442995815,-3.337847235
-5.748795150491969,0.74174383
-16.05316186935799,-3.972233405
-18.07032674551535,-3.435445107
-12.894663489613686,1.063816809
1.40077343364944,0.927179787
-13.687323064158598,0.985738511
-17.108422751754034,-2.293550001
-13.5671121190468,0.858861277
-11.0475337600732,0.341592553
-10.314891208652206,-2.947455745
-3.9797198815350407,1.015017873
-2.6303590693145527,0.087838085
-7.12007293653852,0.614866596
-8.47279406475918,0.273274043
-12.203384682488089,0.039039149
-6.063428925119865,0.771023192
-16.23868194715472,1.883638937
-9.302696305522549,1.65916383
-17.089773212660013,0.117117447
-16.38915800885431,-2.518025107
-20.589954782133166,-3.630640852
-5.533999929383656,-1.717722554
-13.021888653233237,-2.381388086
-12.358889796237758,-2.820578511
-3.9406466078994096,-2.888897022
-13.78392683414788,1.112615745
-4.345566460793018,0.136637021
-14.373614997092941,0.009759787
-4.931221055100441,-2.098354256
-7.288345246669331,0.224475106
-22.75920527900891,1.298051702
-11.1692227844649,1.571325745
-11.065356387194152,1.20045383
-13.818120048083774,-0.790542766
-12.794907544485536,0.91742
-12.277721482510119,3.581841916
-18.954902560943943,-0.117117447
-6.171536711752162,-0.10735766
-16.038789260120083,0.897900426
8.321540618988896,1.132135319
-25.758200461961692,-0.048798936
-13.881613884543869,-0.097597872
-16.622898021769572,-0.048798936
-15.416426524561386,0.253754468
-11.191231519841105,1.219973405
-13.986627781592029,-2.293550001
-0.8744025287530918,0.009759787
-10.477903020122364,-0.731984043
4.069627247516636,-2.020275958
2.188981728799363,1.112615745
-23.11406564554929,-0.058558723
