n200,valence
-13.216662516447135,-1.463968085
-21.011591409953596,0.468469787
-19.625752562378615,0.546548085
-9.731201548885808,0.048798936
-13.123921761640657,-2.371628299
-16.201416831000994,-0.878380851
-13.961937947251448,1.30781149
-7.772428021390272,-3.864875746
-17.023080983522902,-1.883638937
-15.754288282837651,0.927179787
-8.278809062438814,-0.097597872
-8.490561373897226,0.780782979
-13.754424737737427,0.702704681
-22.455414880060793,-0.761263404
3.6145428431992075,-3.757518086
-17.931103402394985,0.653905745
-11.36606744003583,1.424928937
-6.106097640667351,-1.805560639
-11.660608769034946,-1.356610426
-16.623859476660883,-2.147153192
-17.968302200083542,-2.937695958
-22.15289975874052,-0.078078298
-15.310271892296646,0.126877234
-13.94266860784387,-2.381388086
-5.283691873951529,-3.962473618
-3.931407295652019,1.102855958
-9.589449392606458,0.712464468
-9.92399137134352,0.419670851
-16.714196363351064,0.195195745
-31.861990181003065,-0.195195745
-9.730070192055933,1.20045383
-10.015217143301538,-1.093096171
-14.387441981341201,-0.234234894
-13.904878722418653,-2.186192341
-14.52918109770474,1.59084532
-20.41514260880483,1.219973405
-14.05933102803756,1.210213617
-10.66899087681171,-0.068318511
-16.897016041688104,1.122375532
-12.667781397293936,-3.259768937
-12.67476500331877,-0.097597872
-14.788566095842294,0.068318511
-19.281275412380115,0.888140639
-17.633306239490885,0.117117447
-10.091142141967621,-0.039039149
-12.469725353375134,-0.156156596
-8.636447988380027,-0.702704681
-22.834316284554188,0.927179787
-7.102601351781575,0.195195745
-14.174710673932978,0.810062341
-13.228904185251055,0.370871915
-27.569816795859577,0.956459149
-2.3481828876675492,-1.912918298
-15.758488657186868,0.263514255
-6.168199713532717,0.91742
-16.350697527115482,-3.25000915
-8.134335451347276,-0.165916383
-1.0534820121179806,0.614866596
-5.658299902368189,0.888140639
-2.2018034727593974,-3.718478937
-11.193544231749327,0.692944894
-10.603961355484884,-0.975978724
-17.669481359107888,-0.117117447
-18.50684043396324,1.493247447
-6.417103304537419,0.751503617
-8.260189191414554,2.996254682
-12.381810402817775,0.136637021
-1.743292001098346,0.409911064
-14.173787074292616,-0.068318511
-9.901247787099576,0.361112128
-12.55980393449421,-0.74174383
-7.184737568576318,0.683185107
-13.506827463112716,0.702704681
-17.24249980074489,1.02477766
-12.668005490864926,0.292793617
-14.437958163552247,-3.845356171
-15.520498588348623,0.312313192
-16.743563120982028,-2.205711915
-2.5667367303551516,-0.068318511
-15.55054890585945,-0.165916383
-6.884160308581992,-0.009759787
-8.38461254003929,1.005258085
-15.008684891220074,1.073576596
-10.561675499966164,-3.855115958
-7.5650312820582135,-3.054813405
-13.109074858386032,0.019519574
-9.19543645480055,1.093096171
