,code,gender,blackwhite,blurring,circularblurringext,circularblurringint,canny,original
0,moob25,m,-4.084097484962228,-4.187597322854738,-3.300732143716939,-4.590897357405337,-2.8884664342489916,-5.952695096051497
1,thko03,m,0.24986311773266723,1.271610484630054,-0.6593311939733809,2.407475775368077,0.7425572989309965,2.092794202000253
2,vamo24,f,-2.602378675871841,-2.6572323166114526,-2.669632937876514,-2.916633400551463,-2.713836992091412,-2.353903438863905
3,mile27,m,-4.4592043205765135,-3.2887079701944546,-4.187110844026119,-5.1175948233037545,-4.046526181773439,-5.9030348486318625
4,jomo20,f,-6.521358595526139,-5.722366938127591,-4.324248116988624,-5.173945924378841,-4.9878238851890115,-6.165690718427166
5,mama13,f,-3.5833863677587168,-6.248200372340648,-4.512561034522061,-4.377925058716656,-2.595835792790358,-3.8525068695675735
