gender,blackwhite,blurring,circularblurringext,circularblurringint,edges,original
f,-0.7790259200699999,-0.7902618407600001,-0.86310833704,-0.80196602638,-0.5907300198900001,-0.6884828631700001
f,-0.50928520897,-0.39797127675,-0.22822379783000002,-1.28444239718,-0.38981163736,-0.47917284949
m,-0.8657755980899999,-0.49628518094,-0.6297014724800001,-0.6539208724700001,-0.71207407678,-0.52955092777
m,0.49260299623000003,-0.02265917598,0.033239700350000005,0.32940074906,-0.18445692882,0.52088014985
m,0.29984409751,0.16965602919000003,0.21779694860999999,0.20892622019,-0.24004772633000002,0.40952511915
f,0.74513108617,0.026217228439999997,0.22780898873000002,0.13764044949,-0.059082396960000005,0.8155430711299999
