n200,valence
-7.2526853706123084,3.093852554
-7.575864077459128,0.400151277
-1.447140228565071,-0.078078298
-11.642379623106956,0.019519574
-23.266057100092,-0.117117447
-6.431712108437938,0.771023192
-16.414816379425123,-2.566824043
-18.379882516947422,-2.918176384
-5.746794030966643,0.380631702
-29.119936545095893,1.395649575
-9.646701667880356,1.112615745
-15.575006571394619,-0.058558723
-21.16390884904739,-3.054813405
-22.093767836376873,-1.844599788
-13.26798336521256,0.312313192
-10.585319458332526,1.366370213
-19.48731533434036,0.253754468
-2.7186473098128277,0.780782979
-23.39029506533813,0.380631702
-7.556178674200702,-0.273274043
-14.75771945297138,0.751503617
-9.726541774658434,1.737242128
-23.958707954736997,0.517268724
-20.243720380534594,-2.410667447
-17.08649733412095,-3.347607022
-6.909531469652224,0.380631702
-15.759919314975148,0.975978724
-2.2218317709954767,-2.918176384
-5.608180615654766,0.663665532
-11.604175183739947,1.180934256
-12.476953571555958,0.761263404
-17.078358918020808,1.727482341
-7.358725288410657,0.156156596
-20.365399465794216,0.663665532
-18.918675654336777,-2.244751064
-7.861827029586739,0.780782979
-11.427756862804856,-2.810818724
-9.957254521096964,1.083336383
-10.88329777439981,0.380631702
-19.75646793154394,-0.185435957
-14.834235100982946,-0.380631702
-13.90533064531534,1.073576596
-16.8080265884657,0.214715319
-13.775035427931465,0.370871915
-7.0882275569895805,-3.952713831
-16.30900509664545,3.53304298
-11.791381129231095,0.380631702
-9.102945179183529,0.351352341
2.8001504653572336,3.415925533
-6.518199251556089,0.956459149
-15.753092578165088,0.400151277
-11.544272861193908,-3.220729788
-4.8926939118663055,1.561565958
-13.726800134782184,0.009759787
-13.94328995795177,-2.762019788
-14.535907579517126,-1.20045383
-15.916417346959975,0.683185107
-6.437545499312323,0.10735766
-15.233479684001384,1.102855958
-5.49817969571494,1.737242128
-12.768680471998316,0.234234894
-15.08157380711283,0.263514255
-17.61968496382539,1.015017873
-6.472396305743977,-0.10735766
-3.7940991067511978,-0.214715319
-11.472268240250852,-2.722980639
-25.306194070592746,0.478229575
-12.413659805560687,-2.088594469
-3.5638989633250255,1.249252766
-2.7951781600880437,0.068318511
-6.264722528392685,0.263514255
-14.623532589969969,0.165916383
-11.110793477716529,0.302553404
-10.729944579247995,0.165916383
-13.573469452533878,0.927179787
-12.198485187560106,1.122375532
-10.246351196482232,-0.888140639
-10.844740311075979,0.74174383
-9.656456991057517,0.692944894
-16.53401501477372,-1.503007234
-4.006646737932008,1.83484
-19.082557646178604,0.692944894
-6.716732467031542,-0.17567617
-20.946325621067935,0.097597872
-0.8201559445798546,0.868621064
-7.714356946660554,0.400151277
-5.5782514803337175,0.546548085
-15.478943686620882,0.995498298
-1.8713295052971193,1.219973405
-11.888799981809086,-2.996254682
1.6419366202201766,1.30781149
-10.507027930287318,-3.81607681
0.8183389439204691,0.10735766
-13.91893019057592,-3.825836597
-15.589081652432354,-3.503763618
-10.751083765048087,1.463968085
-16.058365861840986,1.600605107
-9.292251358582021,1.02477766
-7.623109155457193,-0.10735766
-1.8615049514554978,-3.903914895
-11.95680125401565,1.110810126
-14.863242162455483,-0.320536296
0.052050308476728244,-0.387693255
-12.42339270395836,-0.440895566
1.8284000069255995,-1.298658964
-10.82744379275887,-1.433878124
-3.3586268526920655,0.883402735
4.980144784662114,-0.579128765
-13.767204024547018,2.246965844
-6.766447145166184,-0.450313725
-13.764739213107731,-0.291862345
-16.05681299933829,-1.938052517
-9.69327168986421,1.925886633
4.124496932053814,-0.424438934
-10.946096797845904,-0.656769142
-5.964186896874044,1.043874905
-8.606512879443436,-0.350464096
-0.7783949746455923,-0.330527088
-3.494322514499509,1.301667288
-8.006250834518768,-3.041006938
-3.540372736496445,-1.183183649
-2.4756909444458035,-1.368349911
-10.133018374884507,-0.380357607
-12.744384958942621,1.332925518
-3.424949735054111,0.27309232
-3.933469147366418,-1.300207702
-8.139666721939756,0.39434883
-4.8735178924034335,1.010016395
8.95968304267351,0.034520296
-18.0907516090849,-0.42540018
-5.371523537943233,0.720515448
-12.879760433020179,-1.94543617
-2.105824894218467,1.641354222
-5.957606943249086,1.076779312
1.95433305655421,-0.973782486
-5.5857090083119925,1.507491208
-1.9917731275364148,-1.573033708
-3.167162047389982,0.711610773
-8.109249228371814,-1.451310576
-10.140567916578096,-2.631085857
-1.5921077329296045,-2.106741573
-11.197976315004748,-0.093632387
-14.940168865535501,0.308988764
-5.324509669253376,0.880150098
-5.0975235080594254,-0.449438202
-14.46149139500797,-3.342696629
-11.173866522407252,-1.451310576
-0.30964484056869007,-1.217227893
-7.026772644953485,0.805244017
-7.558579496973721,0.926966292
-9.315887329398466,1.039325843
-14.446909333334089,-2.752808989
-9.326152793327054,-0.889512823
-10.769649653262617,0.833333905
-12.672007121265187,1.638577922
-2.8620866723401437,-0.393258427
1.317232270009634,-3.146067416
-5.379211481861693,-2.921348315
0.09361283221330223,-2.406366755
-11.34440195566798,1.441948709
-5.974973679279777,-2.031834635
-9.008010842533512,0.702247191
-2.0012852240567116,1.245319495
-11.78885707928099,0.870786517
-7.039647952040786,0.514981559
-3.937426101417681,0.805244017
-12.22123305055315,-0.880149241
-13.25113625756233,-2.752808989
5.413261855965775,-1.919475084
-9.088945037837062,-1.835205421
-9.838106990002634,1.619850759
-1.1728870322705862,0.77715413
-6.560637375059918,-1.741573034
-4.000469432481144,0.355805815
-11.792756906748368,1.638577922
-9.408843340522411,-2.434456643
-8.556283614112012,-0.299625182
-4.313610314246953,-0.964418904
-11.597319564178132,-2.209737542
-11.999273299097913,-1.76029934
-3.512025071100377,-0.271535295
-3.897847003302469,-1.853932584
-4.004400536817012,1.001873231
-11.853690475398087,-0.140449438
-1.8883006102996396,-3.389512823
-6.044060161285097,2.134831461
-1.996336573254208,-1.273407668
-9.68314898666888,-1.666666095
4.31743924735244,-1.3951308
-11.728890938445472,0.852060211
-3.0782050276698185,1.451311433
6.1243417094159005,0.252808989
-5.516605975801629,1.30149927
-10.374854698739702,1.039325843
-8.839426688645728,-0.056179775
1.9679941985837839,0.720974354
-7.503962184477715,0.084269663
-6.518407212428849,-0.299625182
-8.684617116276009,-3.080524059
-4.1963352599208825,0.674157303
-6.195072492497242,0.280898876
-4.575367361580561,1.039325843
11.441519813943444,-0.936329017
-3.7131106627183583,-0.674157303
-8.29402353019227,-0.814606742
-11.91492884841871,-1.170411699
-6.140314910885765,0.720974354
0.3426607347176606,-0.730337079
-5.725052148536092,0.945693455
-3.4529118445996776,-1.039325843
-3.007766093791718,1.376404494
-5.00982097054346,1.235955056
4.240916484956963,-2.031834635
-10.176142861025694,0.636704691
-9.636245305066426,0.880150098
-2.526428881982705,-1.498126769
-5.815185069815817,0.983146067
-5.876112135810012,1.020599537
-8.675890780378907,0.505617978
-4.843846895059639,0.224719101
2.09642458381082,1.807117248
0.08418726636337412,1.076779312
-9.652868527623514,-1.264044944
-1.6380704222261546,0.870786517
4.849329367900318,-2.705991938
-4.928033699931479,-0.112359551
-11.891124879024828,-2.134831461
-8.077728311270876,-1.900748778
0.9447562475178141,1.516853933
-13.98882349645094,0.58988764
-2.0495819622955884,0.749064242
-3.684065767430882,-0.842696629
-10.970600071766642,-1.161048118
-3.4517968654658553,-0.449438202
0.5260505553815327,-0.468164794
-2.5759088287609546,-0.63670412
-0.26351679509150605,-0.468164794
2.281325522096914,-0.505617978
-2.7957510583697944,-0.383895131
-0.12743754106826138,-3.61423221
1.1459143086620454,-3.558052434
1.2333657809351881,-0.411985019
-8.899386710725187,-0.308988764
-7.217306097759256,0.926966292
-2.64122341749727,-1.975655431
-5.697343668371643,-0.79588015
-12.614775622745858,-0.440074906
-5.470754330772913,-0.561797753
9.114537938769278,-0.131086142
-3.1204256408250894,0.102996255
-1.4405070639209745,1.629213483
-6.501391125267663,-2.172284644
-3.455234847410669,-0.43071161
-7.480307558307887,0.486891386
-14.931241623452738,1.132958801
-5.441697857369783,-0.421348315
-7.879129826609688,-2.331460674
-13.12031126964141,-3.323970037
-8.765345116915803,-0.402621723
-8.190006095754512,0.571161049
-1.4571712807978092,-0.402621723
-9.210068102991572,-0.486891386
8.932726784800607,0.327715356
-13.932186932471936,0.730337079
5.711015637260955,0.767790262
1.5406668024208177,-0.411985019
-18.00828647973865,-0.383895131
-6.4706274654367455,-0.655430712
-6.023552945451787,-0.383895131
-10.861701498913154,-1.189138577
0.6433154511942571,0.898876404
-12.467780141290074,-0.056179775
-4.186179112817826,-0.402621723
-5.0684229686185915,-0.440074906
-10.07277380284443,1.694756554
-1.1561459554974565,-0.177902622
-2.748791603825552,-0.440074906
-1.0923364167496723,-0.449438202
-11.483176155481948,-0.543071161
-12.00346784472828,-3.314606742
-7.431644350826295,-0.486891386
1.1101256143146496,0.674157303
-0.46058292957528923,2.378277154
-3.4773062795502065,-0.486891386
-16.760920583147605,-3.661048689
-4.791267874790824,0.608614232
-7.282242202939183,-0.561797753
-1.0766896793415202,-0.468164794
-4.072720981804499,-0.514981273
-13.52643672811759,1.029962547
-15.647128659040657,0.74906367
-12.395075213823818,1.179775281
-8.983013141064264,1.151685393
-16.42392664614376,-0.552434457
-3.995823662360818,-0.327715356
-3.9082870820971327,1.207865169
-4.140513048606048,-0.514981273
-3.790208405994516,0.383895131
-7.689887799684327,-3.810861423
-9.004366754104096,-0.374531835
-13.475253775265662,0.646067416
-7.380980346501846,2.116104869
-6.294158312529931,-0.458801498
-15.050293403049075,0.458801498
-7.541138198049435,-0.393258427
-3.367573827214002,-3.548689139
-2.607252173099283,-0.271535581
-11.749943869015535,-0.646067416
-8.593263205804673,1.22659176
-1.0255080165163026,-0.561797753
1.110920943514974,-0.046816479
-4.606474376227562,-0.224719101
-4.296489943169275,-0.646067416
-4.809186244266154,0.674157303
-10.603357214822193,0.346441948
-10.582959403809364,-0.421348315
-15.258699454876906,-0.514981273
-10.742163204063216,-0.440074906
-9.622806100806715,-0.280898876
-0.5627407724241394,-0.552434457
-9.81007396360179,1.22659176
-17.654398678979565,1.095505618
-5.847252062785764,-0.337078652
-12.039359564975024,-0.43071161
-8.045100120997878,-2.06928839
-1.3738345786871118,0.028089888
-8.15971603404643,-0.514981273
-10.777683907745917,-0.468164794
-5.602407358278543,1.441947566
-5.157752670384817,2.228464419
-10.035267184817943,0.037453184
-3.520353377198114,-0.365168539
-6.98915290834187,-0.561797753
-15.360908806323764,0.243445693
-4.3134885768130395,-0.43071161
7.637319674102988,-0.290262172
-17.44270605720439,-0.327715356
-19.245301987476513,-0.402621723
-5.716820857045362,-0.43071161
0.3439922808879556,-1.582397004
4.776824379455054,-1.029962547
2.3987248147112785,-0.43071161
-37.58325239372758,-0.215355805
3.583389231468548,-0.458801498
-7.452024335187717,-0.449438202
-12.865286075819311,-2.078651685
-3.283686014644041,-0.786516854
1.9426286804996948,-0.290262172
-14.807540193017054,-0.393258427
-8.0804692422808,-0.552434457
3.3832135536977144,-0.168539326
-13.9819139850372,-0.47752809
-7.7321361901200705,0.140449438
3.023247723539392,0.533707865
-16.539960559792927,-0.028089888
-6.051238595118001,-0.524344569
-0.4953638994672947,-1.095505618
-1.5253977096728604,-1.460674157
-7.506434395376359,-1.020599251
-24.165166121756517,0.617977528
-8.401156845405549,-1.310861423
-2.361254406923427,-0.43071161
-9.273713328777891,-0.131086142
-6.178184592332742,-0.074906367
-5.717963135745705,-0.505617978
-14.17045540533958,-0.112359551
-18.987850434696384,1.104868914
-18.442067731893456,-1.647940075
-10.894975651958742,0.571161049
-19.017599893245833,-0.102996255
-2.4456419997101375,-0.093632959
-1.8941004119352833,-1.039325843
-22.83988089531217,-0.093632959
-16.879766346472145,-0.786516854
-26.58114513458572,0.365168539
-0.28328460427294594,-1.27340824
-8.454158483922157,-0.692883895
-17.580473301992946,-0.018726592
-14.333410300638286,-0.889513109
-14.409168239861549,-0.683520599
-25.928720337935783,-0.458801498
-19.676814372864932,-0.308988764
-9.225321813850357,0.065543071
-14.884916749759553,-0.496254682
-16.1980150758017,-0.833333333
-15.175846585800503,0.065543071
-17.597709455053586,-0.402621723
16.343288013002685,-1.207865169
-6.974856126846119,-0.945692884
10.265691694219443,-0.102996255
-11.664173927722537,-0.374531835
-4.051470308793468,0.177902622
-9.264562258090022,0.664794007
-4.756374881127408,-1.507490637
-19.45581584685956,-0.355805243
-14.398048325493678,-0.833333333
-9.531321479311549,0.187265918
14.976397321042166,-0.63670412
-6.924517268056885,-1.245318352
-10.052956532628423,-0.224719101
-6.565118609862208,0.702247191
-0.08287301677568634,-0.102996255
-3.4099459459101853,-0.121722846
-6.222187307910214,-0.346441948
-21.808496910714133,-0.458801498
6.997741719593214,-0.468164794
-12.756520855183512,-0.196629213
-9.568433317611069,-1.404494382
-16.021914156631837,0.009363296
1.3329918481607503,-0.47752809
-14.906798140979216,-0.112359551
-14.540632468579034,-0.898876404
15.309069642259226,-0.365168539
-5.5895411489112865,0.149812734
-19.699680522742735,-0.308988764
-10.779981968381488,-0.440074906
0.678468196801533,-0.131086142
-1.455329524878103,-0.411985019
0.6024908345965786,-0.308988764
-4.3322703240752185,-0.374531835
-25.629858772476677,0.121722846
-15.35031211451777,-0.224719101
7.256006219618501,-1.526217228
-9.848748179168672,-0.374531835
-18.610602791082197,-0.674157303
9.544893914856765,-0.056179775
-14.88315905200577,-0.131086142
-8.708499400125103,-0.852059925
-7.514333406437208,0.777153558
-9.23969682996139,0.056179775
-8.39110192489105,0.140449438
-3.3119804896046614,-1.189138577
-5.365741058045104,-0.449438202
-13.35786470390904,0.644874727
-5.94815853381305,-0.486946222
-7.937197914855411,1.447677957
-18.30051792422522,-2.066231267
-18.953412770966448,1.789856384
0.9633806867582666,0.026321417
-11.90413319780446,-1.855659927
-6.376301838757837,-2.750588119
-9.254284618103796,-0.934410318
-4.7293888886987085,0.81596394
-10.479618377495326,-0.513267639
-11.793360443377836,-2.289963315
-15.365315152876994,-1.066017405
1.1683787273868005,-0.960731735
-14.167718032438477,-1.473999375
-6.360872648895416,-3.013802293
-11.72587473838755,1.158142366
-14.202330886599547,1.11866024
-7.102621277683417,-0.671196144
-13.498338005643399,1.144981657
-13.551033104825555,2.803230954
-4.358356768476839,1.750374258
-9.146412129195719,-0.81596394
-15.995136753955482,-3.606034185
0.5309651860593014,-2.987480876
-23.73876757903541,-2.408409693
-8.363103940246521,0.0
0.2785803334737651,-2.684784576
-18.362364470584936,0.802803231
-21.360771291908048,1.447677957
-10.144912434857975,0.579071183
-5.041085018978307,3.316498593
-10.065830075267352,0.973892444
-18.888053558361563,0.592231892
-8.081784661217094,-0.447464096
-24.854141248670796,-0.723838979
-13.926114068553183,-2.54001678
-4.765233765997918,1.816177801
-13.195971841568593,1.342392288
-4.476144402420901,-1.368713705
-18.381436739746036,-0.447464096
-5.074467846376367,-1.658249297
2.3043683782006195,-0.921249609
-4.049027694165927,-1.329231579
-18.274021811247078,-1.263428036
-5.346405559349956,-1.395035123
0.7255332446107461,-1.737213549
-7.713827385576529,0.565910474
-0.5512389018113111,1.987267014
1.6837488722303389,3.171730798
-13.00422542941969,1.434517249
-21.252327774485313,-3.869248359
-5.232681076302828,-0.579071183
-1.1712538186277837,0.6053926
-13.052197064964126,-1.329231579
-4.625698329018185,-1.855659927
-12.9075583429542,0.421142679
-14.726079192100848,0.658035435
11.602169014165497,1.408195831
1.446726023633952,0.3026963
3.180580870777255,1.026535279
-11.718867624487384,-1.039695988
-8.706193885172047,1.697731423
-16.11898649013649,-0.394821261
-13.845392379833797,-0.171089213
4.730590495465249,-1.855659927
-21.103274333826157,0.263214174
-21.6659936284263,0.987053153
-9.838106655981358,2.263641897
-17.23401872942237,0.829124648
-13.886188528195865,-0.552749766
-1.603018183301544,-0.460624805
-15.110911192856353,-1.158142366
6.416454345696275,-0.10528567
-3.088142332558078,-1.618767171
1.3139851656683723,1.93462418
-20.69155405829452,-0.500106931
-5.497526396468228,1.408195831
-2.7206039660765233,-1.539802918
-14.236184204157066,-1.697731423
-12.418578633418255,3.434944972
-9.02432387435435,2.000427723
4.563327864760809,-1.750374258
-8.416361098496925,1.697731423
0.7779473808692904,0.500106931
-6.622257588302934,-1.144981657
2.9861139992034103,0.157928504
3.508422865063681,1.72405284
-0.677969939529955,2.566338197
-13.049756793322532,-3.105927254
-3.1673025518622886,3.158570089
-13.527311804732086,-3.237534341
-22.89081692905383,-0.10528567
-6.464070713925424,-1.381874414
-20.314301314933303,-2.73742741
-6.853559541947856,1.895142053
-14.844339347831562,2.921677332
-18.53655467090357,0.842285357
-19.600527318538465,-0.697517561
-16.018112135862363,-2.355766858
