n200,valence
-13.210620365175616,0.331832766
-5.275087905482179,-2.537544682
-21.302393347798393,-0.165916383
-9.595695311314987,0.780782979
-2.686713103687438,1.122375532
-20.662393435469486,-1.561565958
-12.311018720724421,-0.507508936
-15.634783571451694,-1.151654894
-14.313513627810165,-0.302553404
-13.12996789291859,1.239492979
-7.4504070413406325,0.195195745
-15.667181833623273,0.45871
-12.737543611347743,-0.10735766
-8.575885736383812,0.341592553
-9.518998578787267,0.17567617
-5.4337539666476875,1.278532128
-10.07023069495785,-0.409911064
-12.329804810104603,1.044297234
-15.754413571399077,0.331832766
-10.84081549878944,0.400151277
-8.816612052745395,-3.796557235
-5.085579016118874,0.165916383
-7.786720597819164,-0.048798936
2.6368359059653503,-0.068318511
-10.606916568660832,0.761263404
-13.257129845243457,-3.620881065
-6.75294685248611,1.112615745
-4.518781418555878,-0.400151277
0.17413786549417276,-3.99175298
-6.5343611358824525,-2.039795532
-3.495686934027047,0.351352341
-10.707854791452608,0.878380851
-16.266611190988918,-1.776281277
-12.224445889454925,0.165916383
-12.978979379561018,1.132135319
-28.755335968647564,0.527028511
-15.623168839926665,0.146396809
-7.2248256224158816,1.298051702
-5.483713593150834,-0.322072979
-4.728718619114623,0.858861277
-12.628198701802676,1.112615745
-6.381001888670284,-0.429430638
-4.858865521343009,-3.31832766
-11.976507820326004,1.005258085
-11.14884881877772,-1.48348766
-6.05692589719194,1.073576596
-13.117577319367832,-1.493247447
-7.8559330952686555,0.91742
-10.020763078735703,0.009759787
-0.4017966291767149,0.839341702
-2.999057215376414,-0.214715319
-12.325424641840366,1.37613
-16.817427560708786,-0.204955532
-15.59717869007599,0.400151277
-9.956795164635297,-3.933194256
-5.717699924391041,-1.395649575
-21.645773177839864,-0.858861277
-8.010154174217094,0.527028511
-13.418466675983705,2.147153192
-14.542693874076972,0.039039149
-7.347312266022012,0.126877234
-12.204813431313314,1.161414681
-14.992171310036046,-3.162171065
-17.048219458651584,1.620124681
-5.359987384168736,0.819822128
-4.210386597697139,0.868621064
-3.927145895950156,-1.083336383
-13.814375962999325,1.268772341
-8.700606776651979,-2.234991277
-15.911077610404558,-0.17567617
-20.341751402208864,0.45871
5.4301600024856835,-2.088594469
-2.321433371708522,1.30781149
-4.805232333918785,-0.331832766
-6.827194109592014,1.190694043
-9.645545529443517,0.039039149
-9.502363328904579,1.102855958
-5.3580609499463385,0.322072979
-4.876721592955758,0.91742
-4.500200509354438,-0.927179787
-20.56614700637984,1.259012554
-18.72000034384905,-3.240249363
-26.470364651297018,0.966218936
-5.589291063944298,1.063816809
-6.479183691217222,-2.108114043
-19.44835625087761,-3.14265149
-8.306843256072735,-0.078078298
-6.847358736365295,0.029279362
-5.816110099243255,-0.819822128
-11.923942752893671,0.966218936
-14.877775664772955,0.331832766
-8.48859143463651,0.243994681
-15.93498224616417,0.273274043
0.9812257622277325,-0.009759787
-2.16849902009046,-0.273274043
-8.324953316400208,-2.420427235
-2.3939318880707097,0.146396809
-18.0823720113693,0.751503617
-6.894936264322145,3.767277873
